,Time,omg,Q,S,F0,FEst,Flux
0,54690.46892837162,1.3078234222511842,6.224377385154635e+19,9597930143.198713,0.2081465575694921,0.20814656234263504,1.1694400310516355
1,54692.34027437572,1.3078298299124618,6.2306761194343965e+19,9597952695.643553,0.208147580607273,0.20814758215360102,1.473038673400879
2,54694.44395255552,1.3078323153044629,6.228246714457931e+19,9598040682.391638,0.2081479791717253,0.2081479777160235,1.0464906692504885
3,54696.51032043046,1.3078325184572626,6.229314955991876e+19,9597791784.002821,0.2081480075881354,0.2081480100487958,1.1742500066757202
4,54698.5651268743,1.3078335625654312,6.2288125517610385e+19,9597680638.125097,0.2081481723086009,0.20814817622377194,1.2596946954727173
5,54700.6298389204,1.3078362140495012,6.226797840920086e+19,9597786067.548765,0.2081485924222467,0.20814859822056822,1.4500586986541748
6,54702.73559771977,1.3078364659280233,6.228687241283455e+19,9597370933.108448,0.2081486353763686,0.20814863830828004,1.162802815437317
7,54704.83015906711,1.3078372607132709,6.2286763624968856e+19,9597161015.119888,0.2081487604497804,0.20814876480228092,1.0500410795211792
8,54706.92850304277,1.307836717831189,6.230024603783213e+19,9596672488.774729,0.2081486767710666,0.20814867839991402,0.7167764902114868
9,54709.042151828355,1.3078345833236422,6.231973983446696e+19,9595939823.232746,0.2081483365154818,0.20814833868248692,0.9048479795455932
10,54711.14449416399,1.307832297613382,6.23268261244763e+19,9595330074.866703,0.2081479711948264,0.20814797490040055,0.7507144808769226
11,54713.09684570027,1.3078292409826804,6.234212882425323e+19,9594555308.430098,0.2081474826453624,0.20814748842251518,0.6360664963722229
12,54715.24472407786,1.3078253366390933,6.234506800238248e+19,9593808954.888414,0.2081468583525873,0.20814686702693375,0.2876662015914917
13,54717.3668417198,1.3078173012470455,6.238736067239183e+19,9592026264.005447,0.2081455175634686,0.20814558815456966,0.0995256379246711
14,54725.70933542228,1.3077908010334434,6.225844635917337e+19,9590328589.42356,0.2081413648863068,0.2081413705145819,0.2918061912059784
15,54727.79706313051,1.3077816557929653,6.237807622779087e+19,9585842864.195717,0.2081398951114207,0.20813991500435405,0.3085377514362335
16,54729.4828722233,1.3077826509565618,6.2284150327966605e+19,9587756990.246817,0.2081401242127036,0.20814007338955962,0.4189155995845794
17,54731.93408440538,1.307784645244808,6.225711455679781e+19,9588622233.705467,0.2081403935039658,0.20814039079039195,0.3897261917591095
18,54746.557246841345,1.307812225946386,6.2268781607774814e+19,9591856563.923141,0.2081448018680316,0.20814478039538203,0.0737885981798172
19,54748.62788129014,1.3078032535248454,6.237821239545227e+19,9588215137.930561,0.2081432825100944,0.20814335239014234,0.1186443790793418
20,54750.712533771904,1.3077988237871785,6.235152413132935e+19,9588025825.335545,0.2081426435938058,0.20814264737549604,0.3412667512893677
21,54752.82573309635,1.3077930875065313,6.235278349962259e+19,9587138198.923971,0.208141731231173,0.20814173441807607,0.419619619846344
22,54754.94486090122,1.3077819440570952,6.240315024872324e+19,9584565220.582054,0.2081399375241203,0.20813996088301523,0.2858349680900574
23,54757.04351158407,1.307787693527979,6.225280287481686e+19,9588450484.56601,0.2081409147986031,0.20814087593972655,0.218890368938446
24,54759.10557832221,1.3077910454201502,6.222688195706106e+19,9589487363.75213,0.2081414089429051,0.2081414094099343,0.4691703915596008
25,54761.176281645996,1.307798138503439,6.218112365259265e+19,9591417442.1767,0.2081425356261016,0.20814253830920146,0.6554027199745178
26,54763.16034518067,1.307804885018003,6.216703548317877e+19,9592605282.950142,0.2081436072935,0.208143612050343,0.8999757170677185
27,54766.08519974,1.30781922720096,6.216244121865413e+19,9594808166.44297,0.2081464525093306,0.20814589467965536,0.7050302028656006
28,54767.433190852964,1.3078102667332157,6.231417780001614e+19,9590501792.028696,0.2081444507374767,0.2081444685769214,0.3241413235664367
29,54769.56753416503,1.3078113336463015,6.227823902814004e+19,9591226326.02157,0.2081446376462011,0.20814463838141284,0.5437449812889099
30,54771.66010646991,1.3078054546834526,6.2334705094735585e+19,9589133022.759987,0.2081436902834254,0.20814370271541519,0.4194133877754211
31,54773.714512662234,1.307800260612735,6.234612070839918e+19,9588100619.121479,0.20814286459072,0.20814287605338574,0.3619061112403869
32,54775.723780159606,1.3077990358410785,6.2308060400104825e+19,9588639170.085718,0.2081426845488398,0.20814268112492243,0.1808580011129379
33,54777.860995273935,1.3077929809446556,6.233679772308609e+19,9587188782.631006,0.2081417053648352,0.20814171745822682,0.2435524761676788
34,54779.91614900078,1.3077931789546913,6.228725418875311e+19,9588217784.592323,0.2081417490517552,0.2081417489725028,0.4703379571437835
35,54782.02498035477,1.3077867765895759,6.233516049010649e+19,9586390787.255238,0.208140662778724,0.2081407300044472,0.1910436153411865
36,54784.12862578733,1.307787524778205,6.2280855254647546e+19,9587646524.752851,0.2081408553540409,0.20814084908236585,0.4062485992908478
37,54786.248303329725,1.3077856029787591,6.228785672850331e+19,9587302568.581984,0.2081405360300869,0.2081405432184844,0.3213950097560882
38,54788.34312309799,1.3077795582712184,6.233089117244607e+19,9585679736.194515,0.20813951994013,0.20813958117339976,0.1174826547503471
39,54790.419152839015,1.3077792762273333,6.228727011249817e+19,9586624611.40157,0.2081395486822947,0.2081395362847213,0.1398299932479858
40,54796.41500201354,1.307761699105816,6.225014980566294e+19,9584887909.03459,0.2081367293299729,0.2081367387989465,0.2766223847866058
41,54798.77093579182,1.3077561735694274,6.230251328387012e+19,9582819367.74815,0.2081358506301421,0.20813585938251702,0.364583283662796
42,54800.83451780391,1.3077525249077095,6.230454474915842e+19,9582543138.504255,0.2081352749033805,0.20813527867996895,0.589088499546051
43,54802.92768565128,1.3077477997328066,6.2313892889352176e+19,9582023484.050074,0.2081345249292532,0.20813452664502619,0.593973696231842
44,54805.07146505985,1.3077426980506102,6.231765808664357e+19,9581600584.6645,0.2081337010438279,0.20813371468708652,0.4537821114063263
45,54807.16124291961,1.3077412867711007,6.228385745264697e+19,9582441152.652985,0.2081334897725137,0.2081334900749765,0.707599401473999
46,54809.18855214502,1.307735585899523,6.231932832228363e+19,9581332951.726032,0.2081325727410735,0.208132582753085,0.4206098318099975
47,54811.26083294949,1.3077337155394577,6.2288818380178596e+19,9582053942.18242,0.2081322844352117,0.2081322850760352,0.4482652544975281
48,54815.42305376567,1.3077232780930392,6.227491142862724e+19,9581385324.02494,0.208130612501652,0.20813062390484446,0.28371462225914
49,54817.55347759898,1.3077225550143683,6.225979626535918e+19,9582052733.923027,0.2081305082765691,0.20813050882329973,0.2367449849843979
50,54819.38208460261,1.3077203284519545,6.2277637011109134e+19,9581757107.527075,0.2081301062124047,0.2081301544548855,0.1475666314363479
51,54821.77597691753,1.307735327682924,6.215625154329445e+19,9586879525.445057,0.2081325952977891,0.20813254165663686,0.1779953688383102
52,54823.82318879736,1.3077398920171444,6.2174506136705335e+19,9587414187.018417,0.2081332696484048,0.20813326809298993,0.4076972603797912
53,54825.87797973774,1.3077462619939706,6.216401064840318e+19,9588707087.977728,0.2081342799948483,0.20813428190628921,0.4109550714492798
54,54827.93760051614,1.3077556562774961,6.213249105667651e+19,9590765389.06504,0.2081357764873897,0.20813577705294914,0.6189298033714294
55,54830.03103894557,1.3077600040205601,6.217822177216271e+19,9590535901.026384,0.2081364685515323,0.20813646901774907,0.7005099654197693
56,54832.09558351241,1.307767260050573,6.2164048709337235e+19,9591839608.027225,0.2081376295216645,0.20813762385079285,0.3728491067886352
57,54834.236074340675,1.307768269561914,6.222519465073843e+19,9590724878.426792,0.2081377803522182,0.20813778451951284,0.4975810945034027
58,54836.338310004205,1.307768263297835,6.225646206892773e+19,9590052723.748123,0.208137774538712,0.20813778352255372,0.2302168160676956
59,54838.4107268573,1.307769892083615,6.225004283444645e+19,9590354317.222399,0.208138046181057,0.20813804275186182,0.1636311709880828
60,54840.48098534126,1.3077682877435755,6.227808696103972e+19,9589523004.84801,0.2081377664249031,0.20813778741321415,0.1962746083736419
61,54842.54122067766,1.3077643614188175,6.231224846497289e+19,9588261294.286516,0.2081371596500361,0.20813716251922074,0.9640190005302428
62,54844.62715908524,1.307755980551455,6.2367378157070295e+19,9585982272.990892,0.2081358124329521,0.2081358286627526,0.4212696552276611
63,54846.70854506277,1.3077550811838394,6.230831965694744e+19,9587063010.721762,0.2081356907342382,0.20813568552395093,0.2668352425098419
64,54849.334709399736,1.307743749724244,6.234590367049343e+19,9584608345.163107,0.2081329028722228,0.20813388206614386,0.2077422589063644
65,54850.967193866294,1.307754651450646,6.2198300557602e+19,9589104186.264906,0.2081356394636264,0.20813561712978898,0.3025133013725281
66,54853.03932221959,1.3077582826743948,6.220561271692792e+19,9589547669.911076,0.2081361928285431,0.20813619505699807,0.3694124519824981
67,54855.115366528575,1.307765451107697,6.217426354951083e+19,9591208104.10919,0.2081373533534788,0.20813733594859235,0.2106626480817794
