,Time,omg,Q,S,F0,FEst,Flux
0,54690.991027062504,0.8182225825327861,1.1157092954828032e+16,4327846.031897332,0.1302240873850504,0.13022416855950922,0.1268670409917831
1,54695.00547862438,0.818222978353539,1.1157579002646538e+16,4327846.015685896,0.1302241922884925,0.1302242315563386,0.1564559340476989
2,54696.98246742562,0.8182231843471511,1.1156902320252414e+16,4326734.044456189,0.1302242297161672,0.13022426434124024,0.1701271086931228
3,54699.069075199186,0.818223046425045,1.1145836141466262e+16,4317534.059895437,0.1302240160382456,0.13022424239025526,0.1656457036733627
4,54701.01897322771,0.8182235751399188,1.1155355194866502e+16,4327298.251599158,0.1302244156324165,0.13022432653784094,0.1557089984416961
5,54703.03729062101,0.8182233677736204,1.1097780198559662e+16,4301854.158289407,0.1302240986341027,0.13022429353446952,0.1912381500005722
6,54705.031250001724,0.8182234592923009,1.1049538379509026e+16,4295172.608688525,0.1302241775362887,0.1302243081001199,0.1832286715507507
7,54707.023429404,0.8182237016282181,1.1015189361368002e+16,4298335.365231753,0.1302242243142386,0.13022434666907903,0.1471707671880722
8,54709.02358035929,0.8182241592107584,1.1070638367805788e+16,4322160.827976659,0.1302245194215137,0.13022441949560218,0.1658127009868621
9,54711.036488792466,0.818224617505542,1.114011744844156e+16,4337030.475996276,0.1302246109391268,0.13022449243548237,0.168933093547821
10,54712.914127507196,0.8182248852539087,1.1090269792121984e+16,4325762.276942661,0.1302244218484726,0.13022453504895842,0.1547185033559799
11,54714.979711219865,0.8182252879674418,1.1131029540028134e+16,4331878.0389196845,0.1302246513131011,0.13022459914280787,0.1560327857732772
12,54717.02105095033,0.8182257374281436,1.1262861221464064e+16,4344896.828692206,0.1302247845463821,0.13022467067670032,0.1787329316139221
13,54719.039335750786,0.8182260831037468,1.1236787297746092e+16,4335605.476269726,0.1302246925248838,0.13022472569268126,0.180351972579956
14,54721.003757438695,0.8182263260275254,1.1057829801482832e+16,4316759.754323967,0.1302245758552976,0.13022476435520142,0.1706604957580566
15,54722.55125423204,0.8182265860457982,1.1060632355944432e+16,4320526.534383502,0.1302248302489016,0.13022480573839482,0.1462914794683456
16,54725.38508577635,0.8182272424403567,1.1398771720106238e+16,4344830.993511624,0.1302257472561136,0.13022491020683344,0.2056312710046768
17,54726.997826287225,0.8182276233556786,1.158291094807946e+16,4350457.573518596,0.1302251130676145,0.13022497083138979,0.1838541328907013
18,54728.95090079745,0.818227693295318,1.0977269699100676e+16,4306346.769508067,0.130224555035054,0.13022498196262913,0.1625044643878936
19,54731.45045075704,0.8182281496970538,1.102902348607229e+16,4318744.94606379,0.1302252216178374,0.1302250546012214,0.1714354306459427
20,54732.95994575017,0.8182284793521662,1.1157182726574214e+16,4327604.26351201,0.1302251611934917,0.13022510706746207,0.1854308545589447
21,54735.341675746364,0.8182288658735841,1.1086723726727212e+16,4324739.943757725,0.1302249944724458,0.13022516858425634,0.1784874647855758
22,54736.95610812718,0.818229079104493,1.0943174682678596e+16,4319752.317559353,0.1302251496453345,0.13022520252100953,0.1694218665361404
23,54738.949410099885,0.8182290905167894,1.0176915351000962e+16,4292376.95156165,0.1302248449663181,0.1302252043373329,0.1560124307870865
24,54740.95663985264,0.8182294799008577,1.0332094049052136e+16,4311678.803782053,0.1302254005466877,0.13022526630973214,0.1461530327796936
25,54742.91561064254,0.8182296687722825,1.0047760881873432e+16,4308615.741345296,0.13022517887111,0.13022529636955302,0.1780766248703003
26,54744.96782151401,0.818230271828321,1.06866930839749e+16,4335303.397600393,0.1302256162737045,0.13022539234890249,0.1862890720367431
27,54747.021518980604,0.8182305214335026,1.0451519337423134e+16,4324770.972761704,0.1302253110072953,0.13022543207480097,0.1594526171684265
28,54749.04987325653,0.8182308773925584,1.053211469087818e+16,4328528.512952471,0.1302255176115305,0.13022548872744424,0.1629266589879989
29,54751.059183193756,0.8182313547430982,1.0853104009735918e+16,4338805.610879495,0.1302256619851034,0.13022556470014224,0.182842880487442
30,54753.06753411244,0.8182317415052123,1.0971894410545718e+16,4338779.026842346,0.1302256685550031,0.1302256262552445,0.1743678003549575
31,54755.04950534903,0.8182322145328329,1.1262201716371146e+16,4345939.355191529,0.1302258066824219,0.13022570153992852,0.1562538295984268
32,54757.03441429939,0.8182326278765187,1.1400006174908718e+16,4344887.176110557,0.1302258140097178,0.13022576732561933,0.1868604123592376
33,54759.030552418924,0.818233054721806,1.1572545531951814e+16,4346421.250261191,0.1302259410957814,0.1302258352601567,0.144651398062706
34,54761.0105702602,0.8182338873505814,1.2657045762618986e+16,4393553.365311453,0.1302264897738276,0.1302259677771421,0.1661989688873291
35,54762.9706213947,0.8182340404583129,1.2099228893446134e+16,4335555.748033065,0.1302256268856154,0.1302259921449944,0.1446238160133361
36,54767.003141577356,0.8182347592119517,1.2001002875569548e+16,4326815.738120291,0.1302260379984745,0.13022610653818886,0.144595593214035
37,54768.963652183345,0.8182351794683614,1.2105852444784334e+16,4332124.7683920385,0.1302262944382452,0.13022617342407383,0.1237813532352447
38,54770.968710411194,0.8182355858282042,1.2143047533158416e+16,4332305.481655743,0.1302262751171894,0.13022623809825148,0.1389144212007522
39,54772.95940833485,0.8182360959596081,1.2472609994051788e+16,4346454.737793962,0.130226597284975,0.13022631928818604,0.1458705812692642
40,54774.9778217997,0.8182363416933893,1.2175835046670442e+16,4324722.949843137,0.1302258954017873,0.13022635839793203,0.1223810315132141
41,54777.03661121834,0.8182366760316135,1.2060250554703208e+16,4320690.390323515,0.1302263008953079,0.13022641160951307,0.1373083591461181
