,Time,F0,F0Err,PulsedFlux
0,4178617165.412118,0.20747471525764666,1.3961982858745614e-07,0.24151548743247986
1,4178796484.1960945,0.20747383045840329,1.2251457803813537e-07,0.24695567786693573
2,4178981668.4547358,0.20747278556804674,1.8640415078152728e-07,0.23832722008228302
3,4179157045.873009,0.20747194857673595,1.2898003376449196e-07,0.25603756308555603
4,4179337369.1984396,0.20747055011504403,1.6571195260439708e-07,0.23081684112548828
5,4179698015.8535347,0.20746797707653072,7.362676797129097e-07,0.07667793333530426
6,4180239885.9238806,0.20746544478492007,3.90118600535061e-07,0.1304502785205841
7,4180599639.66329,0.20746447951603408,6.576669306923577e-07,0.09261035174131393
8,4180960648.8157845,0.20746223698862504,3.4759756317725987e-07,0.16338030993938446
9,4181142642.2759223,0.2074618685765919,3.37111089265818e-07,0.20771154761314392
10,4181681598.0708795,0.20746124733873625,3.036894042907079e-07,0.20411019027233124
11,4181861926.526234,0.2074608117380947,2.7389208412387234e-07,0.21753472089767456
12,4182042253.935878,0.20746163289771744,2.649885288974474e-07,0.24406369030475616
13,4182224211.555966,0.20746166358620793,2.7266443680673547e-07,0.21685416996479034
14,4182943897.2045064,0.2074644759758174,3.2055848464551673e-07,0.1617944985628128
15,4183124226.6610694,0.20746466460178264,2.629055302350025e-07,0.2672266364097595
16,4183305123.4278245,0.20746573157928255,1.6879047848306072e-07,0.3700559735298157
17,4183485398.6383743,0.20746660573344874,1.3521675157335267e-07,0.3995562791824341
18,4183665216.1122494,0.20746715506841665,1.1776809571983904e-07,0.35159334540367126
19,4183845545.5818005,0.20746771119449312,2.1197054422827932e-07,0.2062799632549286
20,4184025947.75547,0.20746959940048765,2.492902240192052e-07,0.15927748382091522
21,4184206206.5736594,0.20747044479598362,2.916740129421669e-07,0.14177872240543365
22,4184387667.558496,0.2074730876920875,5.497115012076392e-07,0.10183218121528625
23,4184566868.58015,0.20747298812290296,7.091371116985101e-07,0.08125755190849304
24,4184747200.1009126,0.2074738775861265,3.434943778302113e-07,0.15169547498226166
25,4184927856.245331,0.20747497414025765,2.2961131662668777e-07,0.23026113212108612
26,4185107998.32785,0.20747599442994816,1.731903864765627e-07,0.29763802886009216
27,4185288193.6426797,0.20747749992053438,1.0448026444009884e-07,0.3702510893344879
28,4185469730.4039545,0.2074793086833044,1.1687723144859774e-07,0.34482601284980774
29,4185648918.115915,0.2074802519658069,2.7848182071466e-07,0.19196633994579315
30,4186371151.459861,0.20748404407498178,4.3178164332857705e-07,0.13191108405590057
31,4186550516.3285027,0.2074822575225258,6.236773515411187e-07,0.0928737223148346
32,4186731548.2843194,0.2074818548894872,3.9882380065137113e-07,0.1599896103143692
33,4186911448.6884108,0.2074805234340768,5.083851419840357e-07,0.1234683245420456
34,4187093263.972628,0.20748151370912082,4.150231518451619e-07,0.1639261245727539
35,4187272296.0358386,0.20748129214441877,4.48220248472353e-07,0.18945914506912231
36,4187452175.984529,0.20747834810709564,5.346053626453795e-07,0.15293630957603455
37,4187632507.511432,0.20747985177621917,5.138468281984387e-07,0.1323544681072235
38,4187816148.593056,0.20747858315850634,5.347755518414488e-07,0.09535511583089828
39,4187995597.4259753,0.2074775579592084,1.9166873244103044e-07,0.21688500046730042
40,4188174997.1045127,0.20747851799439773,1.8166394966101507e-07,0.22481505572795868
41,4188534166.123547,0.20747758664953747,6.624807156185852e-07,0.08791189640760422
42,4189619404.388007,0.20747897067986193,2.997243768732005e-07,0.16381151974201202
43,4190157142.6412425,0.20747987074192,5.317788804859447e-07,0.09242819994688034
44,4190698987.1080084,0.20747881531819265,5.444204589366564e-07,0.11264730244874954
45,4190878460.5270805,0.20747906972786204,3.833599180325109e-07,0.17029379308223724
46,4191239118.439838,0.2074768082339372,4.924709742226696e-07,0.09284614771604538
47,4191420292.707915,0.20747845018408728,4.2342301753706124e-07,0.14922136068344116
48,4191599775.3428044,0.2074773929006714,2.8685360575764207e-07,0.18784812092781067
49,4191960431.2071958,0.20747659097669044,2.28648872280246e-07,0.2026659995317459
50,4192502011.50199,0.20747515627227606,2.2971120472448092e-07,0.15431435406208038
51,4192681737.8325634,0.20747388286538163,4.4185497927173856e-07,0.08995568752288818
52,4192862064.2335477,0.20747363128555224,1.8036146798294794e-07,0.20225147902965546
53,4193042389.610386,0.20747320109624062,5.066867174718936e-07,0.09263361245393753
54,4194124336.760547,0.20747509898393396,2.1106777126078669e-07,0.2581601142883301
55,4194306459.2359295,0.2074761238781976,1.8740217910817591e-07,0.2838906943798065
56,4194485225.0599594,0.20747575874710933,1.4922079571988434e-07,0.32794421911239624
57,4194666098.2999296,0.20747581244338764,3.371516754668846e-07,0.18312771618366241
58,4194845628.015927,0.2074770108756345,2.961846519156097e-07,0.21573035418987274
59,4195027300.9701996,0.20747781148458996,6.150436888674449e-07,0.11275831609964371
60,4195206271.600085,0.20747976230477397,3.613914998368273e-07,0.14533916115760803
61,4195386592.891745,0.20747987956159603,5.248454613138165e-07,0.1351299285888672
62,4195747241.5720286,0.20748116925060778,8.290774076158414e-07,0.14340198040008545
63,4195927647.8687,0.207481276351205,3.675340849440545e-07,0.21208472549915314
64,4196112098.938706,0.2074829789372513,4.488369427235739e-07,0.18135333061218262
65,4196288548.45199,0.20748447590393207,2.7923036327592854e-07,0.14606080949306488
66,4196469298.807592,0.20748557925669367,2.3685005601237208e-07,0.16801021993160248
67,4196648830.5722127,0.20748709589605965,1.5764358352043928e-07,0.21568244695663452
68,4196829415.0119405,0.20748815897706435,1.6734392715989088e-07,0.28471288084983826
