,Time,F0,F0Err,PulsedFlux
0,4178530547.312932,0.008680365296939817,7.001457191790905e-08,0.15093211829662323
1,4178821682.788253,0.008678638145952567,8.572013143748336e-08,0.1310238242149353
2,4179169680.996772,0.008676452468205656,1.318946800665799e-07,0.11808516830205917
3,4179512756.856187,0.008674712875841038,1.2219034317695332e-07,0.10173849016427994
4,4179859598.9479656,0.008672946172942435,9.850440818581774e-08,0.1456139236688614
5,4180204818.0268207,0.008670490441062946,8.668533268973988e-08,0.17160269618034363
6,4180551304.833384,0.008668279618388763,7.141498770124599e-08,0.21827438473701477
7,4180897050.211849,0.00866573376044501,5.7510781914515974e-08,0.24580495059490204
8,4181240786.562033,0.008662854968634077,4.0568576054056393e-08,0.2747248709201813
9,4181586617.9557557,0.00866022793931767,5.676539771570788e-08,0.22482185065746307
10,4181934138.979762,0.008657719374077468,6.135458363587531e-08,0.1944214403629303
11,4182278197.883376,0.008655644340386086,7.135017909831731e-08,0.15532603859901428
12,4182623848.0391054,0.008653589234032744,8.754974345492883e-08,0.12154747545719147
13,4182972427.891403,0.008651865624298732,1.0382664328290048e-07,0.11443033814430237
14,4183314672.2467422,0.00865009255146682,1.4621511468249082e-07,0.11655878275632858
15,4183661147.748937,0.008647954528895115,6.060653134909444e-08,0.14357751607894897
16,4184009047.663403,0.008645903469409152,7.922800193682633e-08,0.13370832800865173
17,4184352845.4332376,0.008643513171330724,1.0694631669139198e-07,0.1294991374015808
18,4184697699.9400043,0.008641631086176388,7.883189567792215e-08,0.13373667001724243
19,4185045046.884003,0.008639503664072535,7.888976227832245e-08,0.1369771510362625
20,4185389248.121754,0.008637320109782744,9.03818815345403e-08,0.142314150929451
21,4185734045.2838945,0.008634992351189537,9.816798041129005e-08,0.12505345046520233
22,4186081263.2038493,0.008632849179691695,1.4104205092735356e-07,0.16096341609954834
23,4186425810.5430064,0.00863027742649572,1.9408260243380937e-07,0.15411722660064697
24,4186770988.6614923,0.008628136197668675,1.7258778939321928e-07,0.12718524038791656
25,4187117270.627752,0.008626408414313908,1.4023271432961337e-07,0.10109086334705353
26,4187461792.3717737,0.008625134796599897,1.1690670476127707e-07,0.10044551640748978
27,4187807997.561738,0.008622812556809717,1.1849815706455047e-07,0.09597793221473694
28,4188153812.580376,0.008620662609261682,9.084802599090835e-08,0.19631129503250122
29,4188501198.4423733,0.008619378289317234,1.2799860371615068e-07,0.05518621951341629
30,4188845598.312355,0.008617038702290641,1.2882931343938253e-07,0.048355698585510254
31,4190227197.5618973,0.00861098810392085,1.1823210144257246e-07,0.0768652856349945
32,4190918381.155854,0.008609067924684216,1.494550190273003e-07,0.08120977133512497
33,4191265398.3757634,0.008607993581324684,1.0601483779737464e-07,0.07738947868347168
34,4193340575.331992,0.008598624316327033,1.6921421774895862e-07,0.07539665699005127
35,4193684747.880062,0.008596444480123498,1.0433359420858324e-07,0.11015557497739792
36,4194029097.5960197,0.008593108169873732,4.756146410045403e-08,0.2957368791103363
37,4194374549.0919304,0.008589168655212125,7.628089804256888e-08,0.2476450651884079
38,4195414797.947226,0.008584526732357902,1.236432041196167e-07,0.09292221814393997
39,4195757698.6628985,0.008582471625232086,1.1044268433124671e-07,0.07582991570234299
40,4196102604.4090934,0.008581062922234092,4.243702846906672e-07,0.058288853615522385
41,4196448798.3290696,0.008578663265584303,8.654085092985042e-08,0.1911940574645996
42,4196794756.729814,0.00857615747022711,1.0378711579051014e-07,0.13456997275352478
43,4197139547.7480245,0.008574597582131504,9.807812517692582e-08,0.1395445615053177
44,4197485606.5000386,0.008572333270003589,1.0728211918831221e-07,0.12350787222385406
