,Time,F0,F0Err,PulsedFlux
0,4725301624.7382,0.13022408738505042,2.5510576051601674e-07,0.12686704099178314
1,4725648473.353147,0.13022419228849252,2.2071903060805198e-07,0.15645593404769897
2,4725819285.185574,0.13022422971616723,2.0102500286611757e-07,0.17012710869312286
3,4725999568.09721,0.13022401603824563,2.128490592667731e-07,0.16564570367336273
4,4726168039.286874,0.13022441563241657,1.9048614774419548e-07,0.15570899844169617
5,4726342421.909656,0.1302240986341027,1.3985500402213802e-07,0.1912381500005722
6,4726514700.000149,0.13022417753628873,1.4187253327690996e-07,0.18322867155075073
7,4726686824.300506,0.1302242243142386,1.853613014191069e-07,0.1471707671880722
8,4726859637.343042,0.13022451942151378,1.5686936194470036e-07,0.16581270098686218
9,4727033552.631669,0.13022461093912688,1.6942215097515145e-07,0.16893309354782104
10,4727195780.616622,0.13022442184847266,2.1072365541385807e-07,0.15471850335597992
11,4727374247.0493965,0.13022465131310115,1.8351401820382307e-07,0.15603278577327728
12,4727550618.802109,0.1302247845463821,1.614388054349547e-07,0.17873293161392212
13,4727724998.608868,0.13022469252488386,2.0566525904541777e-07,0.18035197257995605
14,4727894724.642703,0.13022457585529768,2.00581737885841e-07,0.17066049575805664
15,4728028428.365648,0.1302248302489016,6.457552217398188e-07,0.14629147946834564
16,4728273271.411077,0.13022574725611366,3.654985789580678e-07,0.20563127100467682
17,4728412612.191216,0.13022511306761458,2.1512441605864296e-07,0.1838541328907013
18,4728581357.828899,0.13022455503505406,2.1109366343807778e-07,0.16250446438789368
19,4728797318.945408,0.1302252216178374,4.796826829078782e-07,0.1714354306459427
20,4728927739.312815,0.13022516119349176,1.8126675627172517e-07,0.1854308545589447
21,4729133520.784486,0.13022499447244582,4.357534066912194e-07,0.17848746478557587
22,4729273007.7421875,0.13022514964533458,1.7515621664188075e-07,0.16942186653614044
23,4729445229.03263,0.13022484496631817,1.9429003828008717e-07,0.1560124307870865
24,4729618653.683268,0.13022540054668771,2.6801387775776675e-07,0.1461530327796936
25,4729787908.759516,0.13022517887111004,1.8454650785315607e-07,0.1780766248703003
26,4729965219.7788105,0.13022561627370455,1.710467927296122e-07,0.18628907203674316
27,4730142659.2399235,0.1302253110072953,2.0073646567198011e-07,0.1594526171684265
28,4730317909.049364,0.13022551761153056,1.7563677090493002e-07,0.16292665898799896
29,4730491513.42794,0.13022566198510346,1.543084238164738e-07,0.18284288048744202
30,4730665034.947314,0.13022566855500314,1.651553844794762e-07,0.17436780035495758
31,4730836277.2621565,0.13022580668242195,1.6012916148611112e-07,0.15625382959842682
32,4731007773.395468,0.1302258140097178,1.5170712686085608e-07,0.18686041235923767
33,4731180239.728995,0.13022594109578145,2.0050249815994903e-07,0.144651398062706
34,4731351313.270481,0.1302264897738276,1.7940554641882045e-07,0.1661989688873291
35,4731520661.688502,0.13022562688561548,2.092719455504266e-07,0.14462381601333618
36,4731869071.432283,0.13022603799847457,2.3410930793943407e-07,0.14459559321403503
37,4732038459.548641,0.1302262944382452,3.027700472557626e-07,0.12378135323524475
38,4732211696.579527,0.1302262751171894,2.86161423446174e-07,0.13891442120075226
39,4732383692.880131,0.130226597284975,2.743712173014501e-07,0.14587058126926422
40,4732558083.803494,0.13022589540178733,3.7980461797815224e-07,0.12238103151321411
41,4732735963.209265,0.13022630089530796,3.0733585276720987e-07,0.13730835914611816
42,4732900962.815141,0.1302267506921455,2.5870869535538077e-07,0.12343477457761765
43,4733073395.568326,0.13022664128545144,2.555471496634709e-07,0.12783627212047577
44,4733244067.1415615,0.1302265731449353,2.904464508901583e-07,0.12559887766838074
45,4733421061.033652,0.1302268768735131,2.4200761572501506e-07,0.14016370475292206
46,4733595053.628242,0.13022696105961443,2.4593350644863676e-07,0.14213396608829498
47,4733767186.598794,0.13022742970690787,2.184451375342178e-07,0.1393677294254303
48,4733939476.168467,0.13022705185408368,2.4899011918932956e-07,0.132285475730896
49,4734114387.336413,0.13022686589443938,2.2765728147078335e-07,0.1484946459531784
50,4734290561.746135,0.130226687996449,2.494839179689734e-07,0.13620322942733765
51,4734637475.699968,0.13022729606808106,2.3353187827979127e-07,0.13387073576450348
52,4734810684.803882,0.13022736550365063,1.980458961270415e-07,0.16953696310520172
53,4734984106.705672,0.13022747453040312,2.1118748350090755e-07,0.16046397387981415
54,4735160928.923759,0.1302273477900179,2.102853642327318e-07,0.14654827117919922
55,4735327618.331572,0.13022755083407508,2.2189655624060833e-07,0.13307587802410126
56,4735499209.263062,0.13022764767585698,2.33188544029872e-07,0.12598338723182678
57,4735671484.103598,0.13022786569735492,2.3060870546487422e-07,0.12690554559230804
58,4735843371.033884,0.13022750147031625,2.117962765169068e-07,0.14084842801094055
59,4736015252.181532,0.13022754549748328,2.4458392999804346e-07,0.13090410828590393
60,4736187608.124589,0.13022764109822282,2.1626674140406976e-07,0.15931634604930878
61,4736355026.333882,0.13022822056014313,2.8072426516700943e-07,0.12775151431560516
62,4736574889.402042,0.1302282900089816,6.794263072151807e-07,0.15272879600524902
63,4736704149.310012,0.13022758981456473,2.2905219054791814e-07,0.14282001554965973
64,4736877365.554571,0.13022782405167327,2.0861023131146794e-07,0.1390012502670288
65,4737047807.847683,0.13022803587764975,1.9035392995192524e-07,0.16253216564655304
66,4737220728.22297,0.1302279587161939,2.143398774023808e-07,0.1528845578432083
67,4737393791.025845,0.13022818774569545,1.7918438288688776e-07,0.1822543740272522
68,4737566515.112571,0.13022825899763557,2.557725906626729e-07,0.14758288860321045
69,4737742248.118465,0.1302286222548548,2.9854288641217863e-07,0.10772673785686493
70,4737916277.810308,0.13022866916569742,2.3106844082576572e-07,0.1440969556570053
71,4738088079.738232,0.13022870558188274,2.207159752742882e-07,0.14490766823291779
