,Time,F0,F0Err,PulsedFlux
0,4726448874.380185,0.006544547448462422,7.325128592583496e-08,0.12266499549150467
1,4728536228.883043,0.006535159626757344,1.2271058835722215e-07,0.13387875258922577
2,4729190064.508561,0.006531821964940477,7.879750540951136e-08,0.16725698113441467
3,4729889055.825813,0.006528608978417149,7.384135614074694e-08,0.16323961317539215
4,4730580315.072846,0.006525520596261096,1.0332465905094068e-07,0.10411587357521057
5,4731981310.640426,0.006519339305258246,9.700921310695776e-08,0.1351291984319687
6,4732639904.558843,0.006516248065486274,6.874238067666738e-08,0.16889406740665436
7,4733336716.9371195,0.0065127830744470625,4.745792736571275e-08,0.21713142096996307
8,4734020623.51551,0.006509196526145019,4.737697167911392e-08,0.21037402749061584
9,4734757399.743553,0.006505636715868569,8.406743035038744e-08,0.1321711540222168
10,4735420145.130744,0.006502695951183939,9.15701079406972e-08,0.12032630294561386
11,4736077875.961909,0.006500045539779561,8.879523250016064e-08,0.11601392179727554
12,4736836279.856515,0.006496612344545068,4.1539607309459825e-08,0.2558659017086029
13,4737475266.243888,0.006493049354888331,2.6582384293760697e-08,0.4176483452320099
14,4738178011.276113,0.006489007071072306,2.6944762865355187e-08,0.3768487870693207
15,4738859104.900109,0.006485465492463086,4.508230588839979e-08,0.24647970497608185
16,4739576752.726433,0.006482162568072796,9.293936642507106e-08,0.1154647171497345
17,4744413190.143779,0.006463389253272091,8.747887392246412e-08,0.12333528697490692
18,4745072956.778252,0.006460685458428179,8.317940825008918e-08,0.11034557968378067
19,4746491326.22194,0.006454482059190183,6.381607420280488e-08,0.17323477566242218
20,4747165141.481237,0.006451637499563429,6.366246196876091e-08,0.15324603021144867
21,4747865439.135917,0.006448411015412649,9.35290742631878e-08,0.13535089790821075
22,4748505542.9325485,0.006445990443156448,1.0161198815694661e-07,0.14758943021297455
23,4749226253.048517,0.006443014600858174,6.642509475796032e-08,0.13372980058193207
24,4749914293.048948,0.0064401812358840125,7.623595621453205e-08,0.11791958659887314
25,4750623956.187439,0.006437295810658608,5.720576012890888e-08,0.1927432417869568
26,4751307619.806603,0.006434203676616609,3.950475857550373e-08,0.2573505938053131
27,4751999089.411347,0.00643096261790725,3.4739688459239915e-08,0.287048876285553
28,4752686737.217014,0.006427622257242646,3.9566643295074755e-08,0.2589738368988037
29,4753397571.370257,0.006424461471961974,6.3867737765122e-08,0.20615005493164062
30,4754067829.159721,0.006421522334679067,6.877979785713251e-08,0.1798297017812729
31,4754757126.055532,0.006418787850995702,8.79910828643915e-08,0.10819950699806213
32,4755455989.070529,0.0064159317953626305,9.957222601997273e-08,0.11777849495410919
33,4756138530.005235,0.006413366936318645,6.110152384053436e-08,0.18823570013046265
34,4756847778.525112,0.006410055035729124,3.6693844407409415e-08,0.34263768792152405
35,4757517340.802348,0.006406590417989867,2.758386230539145e-08,0.4212685525417328
36,4758233190.14616,0.006403174666794308,4.2199740590831425e-08,0.3034799098968506
37,4758898756.49252,0.006400144975777512,5.7214538884409194e-08,0.17724144458770752
38,4759597511.174569,0.006397477990310816,8.65255884718863e-08,0.1100233644247055
39,4762373611.184055,0.006386896759070406,4.505080752892354e-08,0.24326786398887634
40,4763067789.497644,0.006383584275286616,2.3389954861841034e-08,0.4171064794063568
41,4763735064.094482,0.006380141406147167,2.581298197412707e-08,0.4848193824291229
42,4764441301.491518,0.006376330282369861,2.388879849490877e-08,0.5036455988883972
43,4765118220.148072,0.006372975038180084,3.236523582472728e-08,0.4210999011993408
44,4765811032.62217,0.006369413198683488,2.2166476654206235e-08,0.4561392068862915
45,4766518662.7479725,0.006365681973486839,1.8049355787752575e-08,0.6046571731567383
46,4767214239.2906,0.006361659650762712,1.7966064191909936e-08,0.5823864340782166
47,4767920222.315539,0.006357742689370883,2.4045609947620505e-08,0.49064114689826965
48,4768590169.4501915,0.006354362157372066,3.126007896980809e-08,0.35272493958473206
49,4769280654.38957,0.006351359635819727,5.1420123270418117e-08,0.19005832076072693
50,4769965729.938163,0.006348652084702,8.192189682176831e-08,0.10662171244621277
51,4771354734.660266,0.006343722563054677,7.636203491756532e-08,0.15140844881534576
52,4772048157.090841,0.006340474293608809,2.167500490202201e-08,0.4572887122631073
53,4772731159.737566,0.006336642839340613,1.7495519699650686e-08,0.5450223684310913
54,4773424353.615284,0.006332908434768851,2.685465538831977e-08,0.37792593240737915
55,4774108425.085721,0.006329772034926198,6.056188084357927e-08,0.19094447791576385
56,4774806446.932995,0.006326928706241046,8.154740527288595e-08,0.13875778019428253
57,4778949466.161467,0.006312127201941847,9.434278780418026e-08,0.12774012982845306
58,4779653473.798185,0.006309223281466036,9.298125291934412e-08,0.13023367524147034
59,4780340814.130272,0.006306221609206155,7.24683744124377e-08,0.14473026990890503
60,4781028009.982851,0.006303661136590605,9.283120760983365e-08,0.12872111797332764
61,4781731582.452507,0.00630073200795537,5.482447207327823e-08,0.15237967669963837
62,4782408223.32773,0.006297895686558951,6.184864531633139e-08,0.1442829817533493
63,4783097716.689995,0.006294738329709591,7.945944702214547e-08,0.1469193696975708
64,4783809129.407919,0.006291876894056287,8.4673288824888e-08,0.13986754417419434
65,4784498994.366314,0.006289103137446693,8.526685491005992e-08,0.12216326594352722
66,4785181237.065467,0.006286348183853367,6.766458682250232e-08,0.1373128443956375
67,4786559011.166066,0.006280907160268996,1.1406261535285012e-07,0.12550397217273712
68,4787241416.554591,0.006278384438734631,1.0075866185843552e-07,0.12470591813325882
69,4787963679.847462,0.006276651919388929,1.312172344114515e-07,0.14775803685188293
