,Time,F0,F0Err
0,0.0,0.0019035846448732087,8.47111465418493e-08
1,866847.2671459196,0.0019037225783914344,7.328580409193819e-08
2,2431715.664230031,0.0019036057113560707,3.6177244311375034e-08
3,4032530.0885001663,0.0019036133353236763,6.606721569824003e-08
4,6703321.42337726,0.0019038380496597168,4.336712677854848e-08
5,8004887.986029941,0.0019038196852027237,3.052425157079597e-08
6,9456482.826539058,0.001903717995599628,3.834874462427251e-08
7,10780348.43393911,0.0019037745846281072,3.7296839394684866e-08
8,12020998.470171563,0.0019036359547988902,4.913249185278801e-08
9,13651047.89586626,0.0019038160724321367,4.522860663769279e-08
10,14865267.566273246,0.0019037372996272104,4.072834158819205e-08
11,16268943.83507052,0.0019037587848674314,4.478289383769152e-08
12,17870479.0194978,0.0019036907901593438,6.45105089347453e-08
13,18957692.231244266,0.0019037411899103138,3.4187454645007165e-08
14,20439527.813601352,0.001903695081180781,3.083264132897057e-08
15,21717526.519093104,0.0019037238845697768,3.482870170046226e-08
16,23322886.464691676,0.0019038170787651352,4.744915571563979e-08
17,24598712.853316892,0.0019036884221083719,3.213029131643452e-08
18,25861870.627847034,0.001903503880702493,5.3829634083513156e-08
19,27526919.621860817,0.0019035052794644169,5.439245143179505e-08
20,28600074.66213524,0.001903489036431776,4.7036383676868354e-08
21,30180299.565168098,0.0019036203107475314,5.573226502519901e-08
22,31666075.352599192,0.0019034194982499968,4.770339145920843e-08
23,32893138.523780275,0.0019033742299493469,3.3721057945967914e-08
24,34170505.61316779,0.001903352434366651,3.0328955347158626e-08
25,35690461.54576563,0.001903386971748147,2.9764432696310905e-08
26,37048643.86957667,0.001903267602882814,3.638432488628496e-08
27,38375523.64916371,0.0019031523741242248,4.317194424174886e-08
28,39824382.209004976,0.0019033574045672634,3.3945621424891215e-08
29,41212086.06737824,0.0019033014839339394,2.58874681691168e-08
30,42507863.3568909,0.0019033384634624174,4.42212702012057e-08
31,43875072.06331361,0.001903322959155097,3.8064282392724635e-08
32,45338872.902388684,0.0019034034422711927,5.835856242697446e-08
33,46716364.65728776,0.001903368527071507,3.2955774997844856e-08
